Date,Type,DoW,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01,01 ~ 02
2016.3.17,on,Thu,292,710,1964,3321,2542,2166,2651,3384,4625,4222,4768,5510,7313,13284,9975,7944,10330,10472,4492,1008,0
2016.3.17,off,Thu,269,2215,8328,15519,13035,5954,4464,3977,4945,4039,3650,3982,5329,9122,8300,3073,2287,1994,1217,433,30
2016.3.18,on,Fri,361,714,1930,3186,2511,2201,2793,3634,4769,4489,5059,5996,8193,14093,10852,8214,9332,11488,6984,1781,0
2016.3.18,off,Fri,306,2086,7996,14922,12738,6091,4250,3905,5121,4711,4400,5008,5999,11252,11785,5078,3166,2600,2016,975,2
2016.3.19,on,Sat,764,725,781,1140,1517,2001,2873,4346,5922,5829,6438,7301,8381,7521,5236,5126,6514,7834,4193,48,0
2016.3.19,off,Sat,193,919,1608,3939,7786,5949,5474,6682,7991,6913,5767,6018,7542,7612,5465,3767,2834,2535,1705,286,0
2016.3.20,on,Sun,773,704,536,823,1172,1198,1700,2498,3064,3129,3361,4184,4497,4231,3669,3939,4780,4368,1705,1,0
2016.3.20,off,Sun,103,477,864,1726,3534,2880,3072,4336,4959,4281,3703,4126,4096,3762,2649,2035,1595,1344,614,126,0
2016.3.21,on,Mon,237,722,1973,3235,2493,2004,2675,3279,4394,3967,4671,5715,7139,12948,10355,7771,9886,9220,3376,630,0
2016.3.21,off,Mon,295,2359,8447,16038,12715,6115,4230,3603,4733,3896,3755,3567,5160,8058,6676,2883,2164,1608,1026,359,0
2016.3.22,on,Tue,292,709,2052,3376,2463,2227,2739,3284,4482,4013,4704,5488,7180,13090,10078,7683,10059,9683,3729,642,0
2016.3.22,off,Tue,301,2321,8070,15780,12726,5888,4447,3633,4683,3788,3818,3849,5200,8519,7260,2962,2216,1860,1013,488,4
2016.3.23,on,Wed,306,736,2009,3404,2537,2110,2658,3293,4453,3998,4559,5535,7513,13339,10033,7649,10326,10376,4144,831,0
2016.3.23,off,Wed,281,2186,7792,15553,13036,5982,4258,3794,4781,4077,3944,3815,5180,9162,8062,3054,2253,1922,1170,376,2
2016.3.24,on,Thu,311,741,1984,3382,2483,2177,2718,3195,4434,4230,4713,5515,7456,12814,10073,7778,10450,10034,4544,921,0
2016.3.24,off,Thu,295,2191,7564,15986,12537,5914,4558,3620,4787,4186,3548,4102,5260,8880,8002,3081,2318,2214,1209,475,0
2016.3.25,on,Fri,334,739,2001,3165,2348,2149,2947,3469,4716,4422,5094,6025,7993,14292,11207,7914,9568,10966,6992,1840,0
2016.3.25,off,Fri,277,2101,7202,15541,12351,6130,4548,3790,5026,4792,4393,4782,6241,11107,11354,5113,3290,2794,1830,877,1
2016.3.26,on,Sat,686,744,711,1223,1612,1939,3001,4295,6026,5627,5998,7373,7941,7096,5309,5187,6765,7356,4093,14,0
2016.3.26,off,Sat,191,886,1579,4004,7434,5961,5467,6360,8084,6946,5623,6166,7094,7585,4801,3453,2915,2347,1542,259,0
2016.3.27,on,Sun,600,638,543,776,1122,1167,1678,2300,3022,3095,3453,3907,4496,4573,3880,4191,4973,4535,1677,0,0
2016.3.27,off,Sun,77,470,779,1654,3212,2626,2836,3846,4950,4327,3628,4208,4173,4114,2944,1987,1670,1236,765,11,0
2016.3.28,on,Mon,270,698,1907,3214,2504,2109,2753,3192,4136,3958,4571,5400,6809,12682,10429,7540,9897,9005,3431,602,0
2016.3.28,off,Mon,320,2206,7858,15932,13039,5302,4067,3779,4384,4344,3793,3857,4859,7906,6934,3107,2094,1691,984,351,0
2016.3.29,on,Tue,292,749,2112,3337,2496,2050,2454,3051,4291,4059,4560,5288,7326,12885,9601,7280,9607,9475,3843,733,0
2016.3.29,off,Tue,293,2176,7460,15567,12620,5529,4327,3729,4588,3912,3639,3657,5150,8237,7353,2841,2104,1829,1019,315,0
2016.3.30,on,Wed,337,726,2106,3264,2428,2092,2507,3099,4178,3879,4510,5102,7167,12910,10015,7643,10128,10012,4388,889,0
2016.3.30,off,Wed,289,2064,7163,15366,12332,5573,4202,3495,4746,4224,3824,3901,5225,9006,8049,3108,2188,1928,1121,430,0
2016.3.31,on,Thu,355,701,1927,3234,2452,2150,2500,2922,3996,3827,4383,4924,6770,11755,9749,7529,9555,9999,4801,1073,0
2016.3.31,off,Thu,271,1938,7099,15057,11441,5271,4313,3556,4302,4061,3665,4004,5229,8382,7893,3219,2423,2186,1198,505,0
2016.4.1,on,Fri,331,717,1936,3140,2331,2064,2560,3228,4255,4278,5006,5583,7488,13688,10330,7383,8757,10369,6231,1564,0
2016.4.1,off,Fri,303,2050,6536,14404,11529,5347,4131,3827,4794,4193,4181,4578,5636,10151,11120,4786,3088,2673,2148,965,20
2016.4.2,on,Sat,669,814,725,1030,1486,1943,2715,4204,5512,5611,5963,6657,7168,6255,4718,4648,5932,6938,3660,7,0
2016.4.2,off,Sat,160,914,1619,3533,6784,5320,4915,5739,7058,6163,5570,5125,6511,6957,5185,3405,2836,2329,1869,173,0
2016.4.3,on,Sun,583,644,547,727,1037,1112,1505,2273,2845,2978,3218,3508,3770,3815,3275,3638,4073,3914,1608,0,0
2016.4.3,off,Sun,103,472,734,1436,3002,2436,2580,3610,4194,3919,3321,3513,3768,3593,2559,1882,1519,1175,686,0,0
2016.4.4,on,Mon,259,681,1870,3165,2337,2206,2737,3140,4378,3948,4623,5449,6802,12646,10308,7529,9443,8804,3083,611,0
2016.4.4,off,Mon,293,2373,8133,15609,13132,5713,3950,3773,4649,3670,3734,3613,4660,7664,6747,2866,2063,1745,919,383,1
2016.4.5,on,Tue,296,694,2043,3395,2466,2264,2664,3290,4509,4056,4577,5348,7138,13192,9942,7818,9925,9520,3607,687,0
2016.4.5,off,Tue,285,2335,7505,15675,13294,5585,4103,3780,4465,3763,3808,3646,4863,8275,7282,3120,2286,2045,1060,412,1
2016.4.6,on,Wed,291,680,2058,3422,2419,2113,2547,3162,4561,4088,4564,5208,7350,13735,9892,7339,9850,10048,4084,859,1
2016.4.6,off,Wed,289,2153,7694,15251,13481,5531,4035,3661,4651,3712,3794,3655,4866,8697,7598,3012,2231,2101,1088,339,44
2016.4.7,on,Thu,326,663,1841,3283,2494,2209,2631,3116,4346,4047,4657,5382,6936,12912,9989,7752,9686,9872,4213,799,0
2016.4.7,off,Thu,274,2127,7102,14681,13556,5620,4154,3702,4665,3754,3874,3861,4974,8711,7541,3314,2405,2058,1136,456,40
2016.4.8,on,Fri,336,727,1980,3278,2341,2194,2704,3519,4763,4727,5125,6011,7832,14058,10419,7401,9547,10428,6192,1416,0
2016.4.8,off,Fri,286,2108,7070,14586,12973,5881,4454,3673,5167,4192,4265,4432,5780,10126,11183,5020,3294,2912,1855,893,2
2016.4.9,on,Sat,740,834,839,1167,1542,1922,2800,4294,5782,5594,5801,6450,7338,6347,4824,4395,5849,6218,3476,17,0
2016.4.9,off,Sat,188,901,1491,3643,7323,5391,4661,5772,7052,6110,4922,5394,5971,6735,4842,3357,2944,2508,1828,123,0
2016.4.10,on,Sun,611,675,567,750,1008,1093,1590,2194,3106,3061,3316,3862,4097,3955,3366,3716,4262,3889,1462,0,0
2016.4.10,off,Sun,79,467,733,1579,2826,2553,2762,3613,4407,3940,3129,3716,4132,3834,2852,2222,1794,1258,656,119,0
2016.4.11,on,Mon,288,707,1917,3256,2343,2094,2667,3163,4244,3999,4661,5334,6922,12779,9890,7470,9570,8886,3502,664,0
2016.4.11,off,Mon,324,2310,7911,16018,12659,5600,3947,3830,4486,3785,3626,3881,4616,7853,6464,2933,2064,1832,952,375,1
2016.4.12,on,Tue,286,675,2055,3473,2485,2160,2634,3213,4523,4101,4700,5568,7137,13110,10124,7514,9400,10447,5816,1611,0
2016.4.12,off,Tue,280,2225,7512,15121,13191,5560,4478,3682,4756,3953,4023,3871,4953,9551,9641,4199,3033,2386,1867,995,0
2016.4.13,on,Wed,636,551,549,834,1074,1401,1776,2635,3392,3462,4058,4733,5070,5096,4700,4617,6149,6013,2306,0,0
2016.4.13,off,Wed,149,853,1765,3035,5965,4063,3780,4492,5221,4129,3975,3852,4128,4470,3761,2064,1830,1684,896,41,0
2016.4.14,on,Thu,291,680,2016,3227,2359,2107,2671,3108,4490,3874,4770,5137,6998,12620,9986,7641,9814,9472,3868,787,0
2016.4.14,off,Thu,302,2187,7614,15117,12861,5828,4178,3655,4567,4189,3436,3896,4777,8350,7273,3036,2352,1974,1126,418,0
2016.4.15,on,Fri,301,711,1995,3166,2350,2127,2733,3363,4442,4280,5030,5603,7430,13617,10132,7441,9076,10107,5973,1479,1
2016.4.15,off,Fri,297,2102,7001,15115,12486,6031,4391,3835,4822,4194,4100,3993,5404,9770,10299,4517,3158,2619,1892,816,1
2016.4.16,on,Sat,665,721,692,1123,1442,1987,2625,3986,5266,4864,5376,6739,7218,6212,4575,4683,5450,6114,3256,75,0
2016.4.16,off,Sat,181,941,1717,3679,6660,5578,4672,5377,6476,6142,5154,5213,5715,6326,3780,2993,2934,1822,1245,176,0
2016.4.17,on,Sun,533,553,621,765,1040,1136,1508,2189,2802,2698,2835,3359,3931,3593,3300,3401,4110,3659,1479,0,0
2016.4.17,off,Sun,91,442,678,1618,2711,2526,2513,3784,4293,3664,3175,3287,3699,3129,2630,1973,1483,1124,703,3,0
2016.4.18,on,Mon,255,702,1926,3136,2377,2083,2537,3159,4107,3851,4649,5253,7401,13100,9854,7082,8991,8077,2992,483,0
2016.4.18,off,Mon,309,2368,7879,15844,13048,5528,3958,3680,4515,3972,3657,3753,4703,7120,6041,2383,1849,1401,935,344,7
2016.4.19,on,Tue,273,713,2041,3283,2430,2062,2567,3123,4306,3800,4636,5403,7005,12902,9835,7472,9537,9006,3525,665,0
2016.4.19,off,Tue,291,2189,7871,15827,12573,5788,4266,3524,4507,4048,3435,3720,4519,7917,6610,2781,1976,2025,1024,363,1
2016.4.20,on,Wed,333,684,1989,3293,2355,2063,2637,3192,4333,4080,4668,5184,7076,13499,9533,7252,9461,9136,3778,769,0
2016.4.20,off,Wed,304,2126,7503,15524,12435,5850,4094,3744,4513,3838,3634,3736,4708,8203,6839,2989,2129,1612,991,371,0
2016.4.21,on,Thu,276,655,1771,3022,2546,2047,2468,3149,4243,3886,4510,4947,6812,12576,9532,7160,9570,9513,4072,896,1
2016.4.21,off,Thu,259,1905,6932,14853,12992,6047,4264,3556,4596,3992,3692,3670,4759,8501,7250,2849,2257,1962,1200,444,7
2016.4.22,on,Fri,354,729,1985,3099,2360,2062,2770,3583,4612,4518,5141,5726,7820,14206,10434,7213,9020,10054,5996,1581,0
2016.4.22,off,Fri,275,2009,7068,15105,12934,5875,4289,3908,4752,4542,4455,4512,5728,9965,10616,4583,3141,2509,1852,728,51
2016.4.23,on,Sat,641,732,811,1171,1483,1817,2492,3945,5083,4903,5588,6808,7378,6424,4568,4555,5995,6777,3730,2,0
2016.4.23,off,Sat,191,912,1484,3962,6682,5554,4947,5437,6985,6393,5041,5700,6030,6775,4475,3586,2822,2276,1605,188,0
2016.4.24,on,Sun,681,657,576,733,1041,1149,1392,2034,2511,2700,3083,3376,3901,3671,3319,3421,4043,3698,1541,0,0
2016.4.24,off,Sun,81,512,777,1591,3070,2246,2645,3359,4368,3697,3007,3077,3237,3177,2332,2188,1539,1160,725,5,0
2016.4.25,on,Mon,222,701,1909,3077,2498,1988,2621,3079,4097,3973,4630,5418,6553,12850,10369,7524,9441,8730,3354,661,0
2016.4.25,off,Mon,295,2295,7557,15950,12411,5690,3957,3725,4595,3950,3750,3806,4510,7711,6494,2813,2100,1624,977,375,4
2016.4.26,on,Tue,305,730,2096,3247,2389,2108,2656,3319,4581,4154,4726,5441,7337,13089,9717,7520,9600,9251,3789,717,0
2016.4.26,off,Tue,289,2222,7604,15573,12961,5525,4281,3899,4728,3996,4082,3863,4771,8611,7144,2962,2179,1964,1093,410,1
2016.4.27,on,Wed,324,735,2028,3239,2364,2054,2565,3216,4226,3871,4637,5266,7374,13497,9906,7444,9584,9806,4199,963,0
2016.4.27,off,Wed,278,2046,7150,15348,12753,5673,4140,3786,4861,3955,3917,3725,5161,8954,7637,2843,2446,1817,1213,454,0
2016.4.28,on,Thu,360,778,2060,3234,2432,2228,2622,3399,4450,4123,4962,5383,7233,12640,10067,7741,9653,10083,4817,1135,0
2016.4.28,off,Thu,290,2065,7177,15357,12529,5677,4354,3916,4673,4299,3957,3992,5287,8838,7733,3225,2429,2248,1304,553,0
2016.4.29,on,Fri,381,776,1971,3102,2325,2175,2831,3438,4676,4372,5038,5909,7666,13385,10600,7888,9284,10489,6575,1801,13
2016.4.29,off,Fri,304,2031,7165,14350,12775,6075,4527,3936,5052,4653,4443,4672,5981,10595,10470,4925,3500,2807,2033,907,34
2016.4.30,on,Sat,733,829,820,1171,1451,1960,2617,3793,5242,5021,5711,6777,7373,6320,4705,4769,6016,7116,3933,26,0
2016.4.30,off,Sat,213,1009,1617,3605,6386,5403,4990,5905,6729,6732,5157,5503,6922,6598,4965,3591,3153,2392,1678,278,0
2016.5.1,on,Sun,813,674,627,715,1127,1165,1661,2098,2922,2883,3070,3411,3952,4028,3291,3583,4326,4108,1713,0,0
2016.5.1,off,Sun,108,523,750,1590,2739,2529,2897,3668,4413,3643,3031,3814,3907,3505,2499,2132,1679,1276,906,8,0
2016.5.2,on,Mon,264,733,1890,3131,2360,2056,2539,3121,4223,3898,4564,5307,6944,12799,10043,7631,9361,9085,3673,679,0
2016.5.2,off,Mon,291,2389,8115,15627,12843,5489,4021,3404,4570,3855,3761,4095,4494,7503,6337,2689,1863,1613,984,310,0
2016.5.3,on,Tue,249,636,1828,3189,2400,2086,2523,3158,4353,3938,4379,5156,6546,12662,9697,7743,9677,9490,3713,889,0
2016.5.3,off,Tue,263,2003,6840,15310,13119,5834,4126,3408,4592,3776,3897,3470,4916,8041,6568,2828,2140,1760,1073,403,17
2016.5.4,on,Wed,325,656,1780,3299,2539,2207,2719,3445,4497,4293,5069,5802,7610,13908,11095,7783,9234,10745,6614,1840,4
2016.5.4,off,Wed,299,2259,7552,15330,12630,5791,4386,3738,4936,4371,4183,4286,5657,9514,11207,5472,3417,3185,2175,974,86
2016.5.5,on,Thu,1013,814,640,814,1129,1263,1771,2496,3150,3076,3408,3873,4374,4294,3956,3662,5472,5716,3004,12,0
2016.5.5,off,Thu,162,1026,1261,2154,3651,3162,2893,3968,4155,3599,3826,4236,4829,5192,4397,3002,2438,1824,1145,170,0
2016.5.6,on,Fri,466,581,703,1121,1275,1520,2121,3001,3779,3870,4383,5334,6072,6488,5153,5317,6307,6989,3799,539,0
2016.5.6,off,Fri,159,1231,2553,4667,6933,4281,4069,4098,4826,4570,4679,4777,5732,6594,5117,3138,2504,2324,1498,499,0
2016.5.7,on,Sat,749,697,714,1009,1306,1648,2474,3493,4573,4632,5348,6120,6589,5641,4192,4222,5176,5736,3244,6,0
2016.5.7,off,Sat,187,922,1429,3441,6598,4756,4056,5001,6260,5224,4615,4445,5297,5586,3834,3260,2993,2230,1519,203,0
2016.5.8,on,Sun,642,556,497,705,974,1067,1353,2006,2606,2545,2681,3060,3468,3472,2683,2778,3550,3327,1451,0,0
2016.5.8,off,Sun,102,479,705,1501,3010,2340,2248,2828,3432,2996,2736,2912,3146,3084,2440,1946,1549,1213,770,3,0
2016.5.9,on,Mon,244,696,1941,3070,2338,1988,2562,3179,4134,3811,4447,5302,6897,12857,10259,7545,9146,8818,3363,694,0
2016.5.9,off,Mon,297,2541,8129,15451,13086,5401,4068,3660,4317,3991,3773,3778,4670,7559,6613,2920,2058,1583,1016,323,0
2016.5.10,on,Tue,301,643,1834,3245,2350,2095,2553,3105,4251,3867,4370,5151,6810,12941,9942,7178,9514,9442,3853,819,0
2016.5.10,off,Tue,247,2066,7312,15426,12871,6057,4058,3602,4711,3625,3587,3826,4761,8188,7188,2801,2057,1916,1131,442,0
2016.5.11,on,Wed,317,729,2166,3267,2426,2068,2614,3188,4317,4045,4616,5469,7370,13788,9950,7664,9695,10221,4563,967,0
2016.5.11,off,Wed,298,2320,7338,16083,12688,5482,4260,3607,4865,4034,3753,4184,5064,8957,7790,3146,2537,1996,1265,528,0
2016.5.12,on,Thu,337,731,2195,3272,2319,2261,2798,3250,4394,3988,4616,5329,7296,12993,9677,7836,10046,10496,4796,996,1
2016.5.12,off,Thu,304,2239,7260,15686,12410,5922,4267,3855,4359,4270,3789,4231,4868,8967,7692,3332,2499,2183,1432,618,47
2016.5.13,on,Fri,342,757,1958,3168,2268,2154,2833,3448,4492,4487,5030,5747,7760,13960,10540,7743,9020,10758,6841,1938,1
2016.5.13,off,Fri,322,2278,6629,15426,12494,5609,4391,3959,4690,4623,4186,4532,5869,10314,11695,5417,3526,2969,2054,960,1
2016.5.14,on,Sat,989,888,710,902,1272,1521,2083,3063,4264,4067,4436,5378,5940,5363,4480,4799,5730,6773,4036,10,0
2016.5.14,off,Sat,174,842,1255,2721,4769,4126,3820,4961,6145,5123,4456,4631,6235,6711,4641,3725,3000,2249,1689,233,0
2016.5.15,on,Sun,760,635,530,747,1149,1071,1442,2110,2913,3190,3138,3672,4164,3938,3247,3528,4200,3879,1688,5,0
2016.5.15,off,Sun,104,519,780,1460,2750,2667,2707,3894,4783,3894,3607,3712,3430,3068,2306,1635,1395,1084,655,96,0
2016.5.16,on,Mon,248,707,2011,3056,2303,1974,2592,3043,4220,3751,4600,5252,7014,12987,10290,7633,9587,9225,3706,792,0
2016.5.16,off,Mon,308,2285,7919,15530,12834,5788,4195,3711,4507,3622,3804,4033,5086,7757,6584,3099,2257,1698,1029,373,0
2016.5.17,on,Tue,305,779,2197,3244,2428,2091,2700,3122,4369,4004,4639,5287,7220,13260,9827,7406,9882,9773,4156,821,0
2016.5.17,off,Tue,283,2250,7474,16153,12473,5408,4112,3802,4931,4124,3773,4022,5014,8645,7360,3134,2056,2205,1217,403,0
2016.5.18,on,Wed,341,726,2054,3234,2468,2069,2623,3201,4481,4178,4770,5352,7817,13784,9868,7447,9653,10157,4600,941,0
2016.5.18,off,Wed,270,2222,7388,15421,13031,5829,4443,3809,4940,4020,3916,4084,5222,9148,7773,3296,2451,2128,1229,524,0
2016.5.19,on,Thu,356,735,1990,3349,2545,2126,2655,3126,4524,4253,4706,5642,7554,13411,10204,7750,9981,9867,4612,937,0
2016.5.19,off,Thu,290,2231,7225,15716,11998,6001,4382,3972,4528,4524,3988,4204,5588,9100,7803,3211,2358,2504,1258,571,1
2016.5.20,on,Fri,424,725,1969,3093,2378,2135,2954,3500,4686,4442,5348,6113,8147,14245,10853,7681,9119,10183,6158,1552,2
2016.5.20,off,Fri,272,2214,6690,15046,12788,5804,4558,4283,5201,4446,4534,4751,5773,9999,10399,4737,3243,2645,1952,838,16
2016.5.21,on,Sat,702,811,876,1210,1532,1966,2726,4027,5385,5674,5968,7387,7883,6579,5120,4927,6304,7274,4006,13,0
2016.5.21,off,Sat,212,1075,1597,3981,6971,5648,5340,6116,7204,6358,5692,6016,6686,6904,4673,3313,3472,2442,2040,174,0
2016.5.22,on,Sun,710,620,632,830,1127,1154,1575,2261,2924,3140,3307,3981,4342,4121,3690,3679,4654,4096,1708,0,0
2016.5.22,off,Sun,86,534,794,1581,3255,2665,3049,3699,4633,3824,3465,3901,3815,3600,2653,2302,1671,1353,656,145,0
2016.5.23,on,Mon,280,746,1773,3206,2371,1964,2599,3189,4071,3845,4603,5202,6896,13292,10046,7552,9051,8646,3300,677,0
2016.5.23,off,Mon,297,2279,7798,16184,12371,5590,4109,3560,4724,3630,3782,3945,4759,7866,6116,2544,2062,1565,971,338,0
2016.5.24,on,Tue,279,627,1753,2971,2337,2020,2466,3011,4034,3745,4545,5002,6701,12683,9653,7239,9443,9130,3796,786,0
2016.5.24,off,Tue,259,2029,6603,15441,12988,5645,4018,3649,4392,3909,3744,3615,4670,8145,6716,2711,2173,1876,1091,411,0
2016.5.25,on,Wed,299,701,2035,3274,2361,2078,2772,2972,4270,3950,4676,5348,7508,13670,9598,6930,9356,9717,4389,929,0
2016.5.25,off,Wed,284,2217,7444,15493,12221,5605,4453,3807,4908,3945,3755,4121,5122,8937,7384,2790,2154,1861,1193,506,0
2016.5.26,on,Thu,346,713,1984,3151,2460,2017,2526,3148,4313,3970,4534,5226,7037,12677,9629,7075,9350,9897,4570,958,0
2016.5.26,off,Thu,278,2148,7017,15254,12135,5733,4227,3629,4612,3917,3773,3940,4967,8346,7226,3146,2337,2045,1275,572,0
2016.5.27,on,Fri,375,744,2061,3065,2226,2205,2691,3381,4420,4333,5131,5783,8093,14233,10225,7430,8606,10235,5977,1511,0
2016.5.27,off,Fri,285,2173,6917,15008,12086,5899,4482,4091,4799,4341,4409,4259,5612,9981,10028,4382,3240,2539,2008,894,0
2016.5.28,on,Sat,828,786,808,1187,1436,1789,2678,3844,5102,5242,5713,6866,7377,6146,4696,4549,5979,6764,3859,69,0
2016.5.28,off,Sat,189,1025,1625,3841,6731,5327,4890,5857,6841,6162,5470,5350,6090,5624,4491,3929,2705,2304,1926,215,0
2016.5.29,on,Sun,626,608,554,710,1004,1071,1463,2124,2851,2857,3100,3637,4311,3867,3269,3709,4221,3997,1762,0,0
2016.5.29,off,Sun,120,496,837,1617,2900,2547,2821,3869,4522,3667,3272,3458,3633,3502,2594,1884,1650,1349,789,0,0
2016.5.30,on,Mon,275,744,1988,2931,2307,1960,2426,2931,3814,3741,4508,5102,6746,12667,9946,7404,8826,8267,3524,667,0
2016.5.30,off,Mon,293,2253,7040,15709,12260,5279,4154,3484,4156,4079,3699,3689,4576,7502,5974,2931,2059,1748,977,351,0
2016.5.31,on,Tue,330,731,2090,2992,2292,1915,2339,2804,3850,3640,4358,5068,6795,12492,9522,7483,8978,8937,3924,852,0
2016.5.31,off,Tue,271,2015,7128,15189,11576,5059,4167,3527,4114,4063,3454,3827,4858,7410,6559,3073,2145,1900,1238,464,0
2016.6.1,on,Wed,437,951,2333,3499,2627,2507,3148,3517,4985,4697,5634,6249,8344,14462,10490,7765,9946,10542,4493,839,0
